name,Eads,delta_e,Ebonding,d-band,f3,f4,f5,f6,iz3,iz4,iz5,iz6,izz3,izz4,izz5,izz6
hollow-16-54,-0.657499,-0.059124,6.62544,-4.056571125,302.469828,492.612005,540.849049,1240.880922,0.209602,6.654276,0.300224,108.144165,11.462919,8.190926,9.101358,52.901324
hollow-16-55,-1.963555,-0.052114,5.31938,-4.139587255,317.652216,448.272265,482.766148,1253.801684,2.379343,0.429817,0.142399,81.513202,0.151392,0.093026,2.320798,11.29746
hollow-16-58,-0.831853,-0.05366,6.45109,-4.060323914,302.600831,388.26635,514.260175,1234.187115,0.200794,1.109515,1.591546,120.986583,7.203372,0.000215,0.132422,44.498053
hollow-16-59,-1.574733,-0.04926,5.70821,-4.10552769,325.8791,393.154219,474.991211,1246.101575,2.165177,0.21852,0.319636,92.470394,0.287637,3.039182,0.419546,16.177252
hollow-16-60,-0.515557,-0.062962,6.76738,-4.045746423,297.660947,526.701642,581.80352,1239.263783,0.358931,6.793868,0.146038,114.280302,9.074612,0.010785,0.010201,49.410326
hollow-16-63,-0.659901,-0.058436,6.62304,-4.055985886,298.934043,464.912715,526.403876,1239.987621,0.200515,2.597149,2.499353,114.338205,12.810274,21.229007,4.211438,76.758156
hollow-16-65,-1.278252,-0.049207,6.00469,-4.084282101,322.804739,365.920953,487.794451,1239.151662,0.939391,1.469271,0.023845,103.602607,2.115131,2.338001,0.168204,23.275313
hollow-16-67,-0.51653,-0.063085,6.76641,-4.043971474,297.003605,527.54169,579.334883,1239.838583,0.363749,6.581718,0.59828,113.655439,9.103185,0.000207,0.032743,48.011556
hollow-16-68,-0.836122,-0.053646,6.44682,-4.057401182,297.509578,390.246569,513.337288,1232.21008,0.163593,1.072064,1.188708,122.703881,7.356357,0.030986,0.026579,43.017079
hollow-16-69,-0.663319,-0.058456,6.61962,-4.051220278,295.267814,444.590915,524.179201,1236.621674,0.19643,1.088175,2.948926,120.938954,12.218939,10.947706,0.876522,75.467701
hollow-16-70,-1.913765,-0.049444,5.36917,-4.124788301,315.447481,421.553292,454.753419,1251.062687,2.427121,0.02526,0.654562,80.588185,0.123109,1.374175,1.375556,11.30273
hollow-16-71,-1.039765,-0.050552,6.24317,-4.063831837,279.659809,349.136634,525.38218,1207.748176,0.012019,0.025295,0.134193,136.568893,0.48588,8.065031,0.006809,14.636883
hollow-16-72,-0.518008,-0.06249,6.76493,-4.048437708,296.046503,528.711964,575.026957,1240.516384,0.372617,6.19659,1.31732,112.739277,9.217381,0.022899,0.015934,45.724425
hollow-16-73,-1.558953,-0.047626,5.72398,-4.09630476,322.381211,375.640134,466.526362,1244.33907,1.84043,0.68717,0.410732,91.638914,0.514467,3.032056,0.359444,16.348237
hollow-16-74,-0.397236,-0.066448,6.8857,-4.037838157,292.990867,543.816843,588.470458,1240.842877,0.518263,5.181732,0.099047,119.11917,10.30808,0.002525,0.006968,53.11856
