Name,ΔG-homo,ΔG-M1,ΔG-M2,ΔG-M3,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd,RAC-d1-charge,RAC-d1-spin,RAC-d1-dband,RAC-d1-Z,RAC-d1-X,RAC-d1-T,RAC-d1-I,RAC-d1-S,RAC-d2-charge,RAC-d2-spin,RAC-d2-dband,RAC-d2-Z,RAC-d2-X,RAC-d2-T,RAC-d2-I,RAC-d2-S,RAC-d3-charge,RAC-d3-spin,RAC-d3-dband,RAC-d3-Z,RAC-d3-X,RAC-d3-T,RAC-d3-I,RAC-d3-S,RAC-d4-charge,RAC-d4-spin,RAC-d4-dband,RAC-d4-Z,RAC-d4-X,RAC-d4-T,RAC-d4-I,RAC-d4-S,RAC-d5-charge,RAC-d5-spin,RAC-d5-dband,RAC-d5-Z,RAC-d5-X,RAC-d5-T,RAC-d5-I,RAC-d5-S
MnCuMnZn_10,#VALUE!,184.4314321,170.9704926,156.4409745,0.97392,1.10767,1.17859,-0.99996,0.5437,3.6515,4.70703,0.0243,0.13499,0.0515,-3.28292,-2.43991,-6.75725,-3.17246,-1.77788,1.691333,2.779181,1.691333,1.901541232,2.184216664,1.869030239,84.6857536,126.817751,106.9612223,-36.41174946,7,7,12,-3.26005,1.1316,39.5926,640,16.34,53.7247,3,2.9304,5.4925,0.0605403,141.046,848,106.743,95.6385,10,5.1546,-2.25979,0.00452351,184.733,200,91.7792,39.0899,11,2.7126,-0.972551,2.16E-05,20.7788,16,15.136,6.64187,2,0.4092,0,0,0,0,0,0,0,0
ZnCuMnMn_10,182.9480245,184.0192286,170.127707,157.5463101,1.18505,1.03146,1.08434,-0.8918,0.54014,0.0451,3.7529,4.64093,0.06674,0.1034,-6.39419,-3.68131,-3.04763,-3.84144,-1.50829,0.654406,1.574571,0.654406,2.073491516,1.83172506,1.986295476,87.05371614,126.4551751,118.4608683,-37.46979923,12,7,7,-2.9437,0.563214,50.4117,640,16.34,57.5968,3,2.9304,5.05564,0.031231,171.759,848,106.743,107.814,10,5.1546,-2.0378,0.00176661,229.365,200,91.7792,41.7356,11,2.7126,-0.869443,-4.67E-06,27.1148,16,15.136,7.06269,2,0.4092,0,0,0,0,0,0,0,0
MnCuMnCo_13,233.7383259,183.8590731,182.0343504,157.7353461,0.96403,1.10451,0.97457,-0.90711,0.56882,3.6515,4.70844,2.5958,0.31083,0.0878,-3.27261,-2.43557,-2.94688,-3.23745,-1.91822,1.712031,1.631564,1.631564,1.902608142,2.227868321,1.855166784,83.53614407,126.7301488,105.7112985,-36.70693147,7,7,9,-2.76044,3.40537,28.0203,616,17.1312,51.0715,3,3.1152,4.86479,0.218408,144.628,848,106.743,93.4283,10,5.1546,-2.04469,0.00956735,188.034,200,91.7792,38.1323,11,2.7126,-0.882527,4.35E-05,21.3072,16,15.136,6.50494,2,0.4092,0,0,0,0,0,0,0,0
ZnCuMnNi_7,#VALUE!,183.717296,196.629506,159.8094912,1.20178,1.07724,0.84078,-0.97849,0.69695,0.0284,3.7456,1.3466,0.17814,0.2995,-5.7301,-2.8836,-1.95934,-2.87281,-2.05581,2.431782,0.909026,0.909026,2.0010286,1.902559595,1.923419308,91.26663636,123.0863939,118.1349739,-36.63701045,12,7,10,-3.05269,0.912184,30.3743,664,17.5784,50.146,3,2.6862,4.22858,0.107882,100.147,784,94.9096,93.1886,9,4.719,-0.667291,0.0167273,137.282,256,96.0448,47.2765,11,2.9436,-1.46604,0.000325996,27.0566,24,22.704,10.422,3,0.6138,0,0,0,0,0,0,0,0
MnCuZnMn_10,#VALUE!,183.491503,164.3489811,156.6930225,0.96535,1.21576,1.11512,-0.98129,0.56315,3.6611,0.0328,4.67146,0.19107,0.0756,-3.05657,-5.85343,-2.60686,-2.90377,-1.60348,1.959787,1.911613,1.911613,1.895108211,2.135260533,1.925961049,82.47092274,131.8645689,109.0135376,-33.90639523,7,12,7,-3.23456,1.59837,33.4423,640,16.34,54.7618,3,2.9304,5.4581,0.0790705,121.256,848,106.743,98.0367,10,5.1546,-2.23261,0.00565185,160.21,200,91.7792,39.7855,11,2.7126,-0.953853,3.06E-05,17.407,16,15.136,6.75456,2,0.4092,0,0,0,0,0,0,0,0
CoCuCuMn_3,#VALUE!,183.2525825,174.9139939,168.6626779,0.80485,0.90234,1.14191,-0.85353,0.58872,-1.5391,-0.5052,4.62793,-0.17414,-0.0841,-2.74136,-2.69482,-2.82596,-3.51583,-1.91147,0.754255,1.877456,0.754255,1.852932206,2.011821012,1.923096485,86.31390148,123.3202918,105.528075,-38.38107975,9,11,7,-2.43179,-0.449913,29.0483,648,18.3352,49.2888,3,2.9238,3.54125,0.055979,136.059,784,94.9096,86.4366,9,4.719,-1.00844,0.0153522,196.72,264,103.613,45.7308,12,3.1482,-0.829546,-5.22E-06,18.9003,16,15.136,6.70491,2,0.4092,0,0,0,0,0,0,0,0
NiCuMnCu_8,200.4338558,183.244706,200.7777963,191.5045296,0.99085,1.02692,0.65495,-0.83394,0.76915,1.6438,3.697,0.0486,0.20459,0.4638,-2.81731,-3.28114,-1.47164,-3.47215,-2.67386,1.301507,0.453276,0.453276,1.972570599,1.840324344,2.131594262,92.57513111,130.4570115,121.6552371,-27.30116958,10,7,11,-2.22889,1.10262,26.2845,656,18.4384,55.3509,3,2.7522,4.23918,0.282126,157.907,848,106.743,114.872,10,5.1546,-1.88851,0.00563441,202.139,200,91.7792,43.6805,11,2.7126,-0.817261,-0.0001248,25.0653,16,15.136,7.41676,2,0.4092,0,0,0,0,0,0,0,0
CoCuNiFe_11,223.1470581,182.8272515,194.1247788,179.3668422,1.01473,0.98293,1.05786,-0.92624,0.66249,2.6524,1.643,3.7181,0.50244,0.2933,-2.90323,-2.55305,-3.98376,-3.31031,-2.33135,3.603873,0.718319,0.718319,2.073952581,2.039127072,1.810902016,84.67984042,130.3915584,114.1878424,-35.61860667,9,10,8,-2.83014,4.0263,31.2495,648,19.3328,50.8248,3,2.8116,4.94505,0.743536,147.275,848,106.743,104.992,10,5.1546,-2.07151,0.00246698,189.788,200,91.7792,40.1278,11,2.7126,-0.901296,-0.000276342,21.9562,16,15.136,6.95912,2,0.4092,0,0,0,0,0,0,0,0
ZnCuCuNi_5,165.1523841,182.661845,161.5606999,156.5039865,1.19636,0.92549,1.00251,-0.994,0.80686,-0.0094,0.5558,1.6093,0.37834,0.4495,-5.51512,-2.42081,-2.43797,-2.74117,-2.09729,3.940727,1.356175,1.356175,1.995569937,1.957956475,1.82706187,83.9211746,119.938077,115.677893,-44.2354363,12,11,10,-3.10561,0.815588,28.4366,696,18.7824,46.941,3,2.4948,6.14931,0.469024,87.1513,680,89.3712,73.9028,8,3.9204,-5.35631,0.0822511,126.755,240,85.484,51.2488,11,3.0756,2.29617,0.00357153,14.8485,128,23.6672,11.8375,2,0.8712,-0.971595,-0.000170253,13.1435,16,15.136,6.74994,2,0.4092
ZnCuZnCu_3,155.7347149,182.2233864,191.7749562,186.8180118,1.20119,1.25594,0.93274,-1.09778,0.85985,-0.0027,-0.0026,0.5152,0.31383,0.5059,-5.95513,-6.13323,-2.90725,-3.34218,-2.13284,3.694708,0.465797,0.465797,2.022454407,1.942502812,1.880385945,89.93637998,134.2316341,131.459948,16.55094569,12,12,11,-4.66526,0.318789,57.2464,944,24.424,81.3152,4,3.3528,7.05284,0.209554,127.425,616,100.207,102.815,9,4.2834,-2.52608,0.00102622,173.955,200,91.7792,50.6595,11,2.7126,-1.06663,-0.000125532,18.3497,16,15.136,8.58749,2,0.4092,0,0,0,0,0,0,0,0
