    0.4505192337E-01    0.4830206189E+01    0.2558377931E+01    0.4771598886E+01    0.2639236260E+02    0.5990552917E+01
   -0.2499334379E-01    0.1147281538E+01    0.1170783644E+01    0.1706648525E+01    0.5081705735E+01    0.1851626766E+01
   -0.9103988502E-02   -0.7233561147E-01    0.9394667405E+00    0.2085603198E+01    0.3975977573E+01    0.2605065753E+01
    0.1387221560E-01   -0.3863927506E+00    0.6510783537E+00    0.5319139567E+00    0.1216603536E+01    0.7733450304E+00
   -0.2085707254E-01   -0.8284699375E+00    0.9032288257E+00    0.6780295388E+00    0.2458807499E+01    0.1168490076E+01
   -0.2022103516E-02    0.1019119983E+00    0.8945415666E+00    0.2502374793E+01    0.3838166263E+01    0.2855459669E+01
    0.1930826464E-03    0.2261766819E+01    0.1583445247E+01    0.3415404075E+01    0.1003002888E+02    0.3449736415E+01
    0.2074456850E-01    0.1640645994E+01    0.2036229515E+01    0.6206691832E+01    0.5186863197E+02    0.1230643027E+02
   -0.2598521555E-01   -0.2625344284E+01    0.1090792479E+01    0.1202113671E+00    0.2118778215E+01    0.4342156263E+00
    0.3099933568E-02   -0.3323357811E+00    0.1479248311E+01    0.1512482129E-03    0.4372010268E+00    0.3635302578E-02
