    0.2952363600E+01    0.1698948829E+01    0.7965206138E+00    0.8855072198E+00    0.4508950761E+00    0.8614256359E+00    0.7314986187E-01    0.7964680811E-01    0.7290483308E+00    0.3936068443E-01    0.3716511756E+00    0.4830206189E+01    0.2558377931E+01    0.4771598886E+01    0.2639236260E+02    0.5990552917E+01
    0.3574732022E+01    0.2302209135E+01    0.9217022329E+00    0.1458300336E+01    0.3978412459E+00    0.1213906117E+01   -0.5222852325E+00    0.3089873867E+00    0.4628389975E+00    0.5324788479E+00    0.1160578528E+01    0.1147281538E+01    0.1170783644E+01    0.1706648525E+01    0.5081705735E+01    0.1851626766E+01
    0.3205701264E+01    0.1847231342E+01    0.8005952232E+00    0.1023922763E+01    0.4490615927E+00    0.1296154031E+01    0.3263109503E+00    0.1085385081E+00    0.7688527616E+00    0.7396952501E-01    0.3006391469E+00   -0.7233561147E-01    0.9394667405E+00    0.2085603198E+01    0.3975977573E+01    0.2605065753E+01
    0.3222045520E+01    0.1987353096E+01    0.6878093681E+00    0.1268063329E+01    0.5026760420E+00    0.1108740763E+01   -0.2992896291E+00    0.2427711051E+00    0.6017130003E+00    0.4049203566E+00    0.6619218788E+00   -0.3863927506E+00    0.6510783537E+00    0.5319139567E+00    0.1216603536E+01    0.7733450304E+00
    0.2572562089E+01    0.1448674882E+01    0.5802612729E+00    0.7740456169E+00    0.5597520994E+00    0.8119294797E+00    0.2426821489E+00    0.1270400592E+00    0.7397325041E+00    0.1013835224E+00    0.3518400157E+00   -0.8284699375E+00    0.9032288257E+00    0.6780295388E+00    0.2458807499E+01    0.1168490076E+01
    0.3466886983E+01    0.2021648038E+01    0.8763474478E+00    0.1146782856E+01    0.4163006981E+00    0.1511949408E+01    0.3110316120E+00    0.1150767474E+00    0.7594102351E+00    0.8520740196E-01    0.3168113277E+00    0.1019119983E+00    0.8945415666E+00    0.2502374793E+01    0.3838166263E+01    0.2855459669E+01
    0.3647028173E+01    0.2264231794E+01    0.9900478369E+00    0.1315391188E+01    0.3715589164E+00    0.1324135545E+01   -0.2208740505E+00    0.2007489715E+00    0.5500860115E+00    0.2323942298E+00    0.8178975271E+00    0.2261766819E+01    0.1583445247E+01    0.3415404075E+01    0.1003002888E+02    0.3449736415E+01
    0.2054711809E+01    0.1029360074E+01    0.5043454270E+00    0.5148783319E+00    0.6039007432E+00    0.4916258262E+00    0.4290961155E+00    0.1291269664E-01    0.9579127250E+00    0.9081319269E-03    0.4393644002E-01    0.1640645994E+01    0.2036229515E+01    0.6206691832E+01    0.5186863197E+02    0.1230643027E+02
    0.1548757666E+01    0.7302065389E+00    0.2768471696E+00    0.3302922337E+00    0.7581703597E+00    0.2815811548E+00    0.3872280648E+00    0.8419516778E-01    0.8074618202E+00    0.4208909547E-01    0.2384486486E+00   -0.2625344284E+01    0.1090792479E+01    0.1202113671E+00    0.2118778215E+01    0.4342156263E+00
    0.9321563880E+00    0.5593772674E+00    0.4160539864E-01    0.6698015651E-01    0.9592482266E+00    0.1004595439E-01   -0.7524803857E+00    0.3899096189E+00    0.2956315535E+00    0.1134508928E+01    0.2382588861E+01   -0.3323357811E+00    0.1479248311E+01    0.1512482129E-03    0.4372010268E+00    0.3635302578E-02
