    0.2952363600E+01    0.1698948829E+01    0.7965206138E+00    0.8855072198E+00    0.4508950761E+00    0.8614256359E+00
    0.3574732022E+01    0.2302209135E+01    0.9217022329E+00    0.1458300336E+01    0.3978412459E+00    0.1213906117E+01
    0.3205701264E+01    0.1847231342E+01    0.8005952232E+00    0.1023922763E+01    0.4490615927E+00    0.1296154031E+01
    0.3222045520E+01    0.1987353096E+01    0.6878093681E+00    0.1268063329E+01    0.5026760420E+00    0.1108740763E+01
    0.2572562089E+01    0.1448674882E+01    0.5802612729E+00    0.7740456169E+00    0.5597520994E+00    0.8119294797E+00
    0.3466886983E+01    0.2021648038E+01    0.8763474478E+00    0.1146782856E+01    0.4163006981E+00    0.1511949408E+01
    0.3647028173E+01    0.2264231794E+01    0.9900478369E+00    0.1315391188E+01    0.3715589164E+00    0.1324135545E+01
    0.2054711809E+01    0.1029360074E+01    0.5043454270E+00    0.5148783319E+00    0.6039007432E+00    0.4916258262E+00
    0.1548757666E+01    0.7302065389E+00    0.2768471696E+00    0.3302922337E+00    0.7581703597E+00    0.2815811548E+00
    0.9321563880E+00    0.5593772674E+00    0.4160539864E-01    0.6698015651E-01    0.9592482266E+00    0.1004595439E-01
