M1M2M3M4,E_homo,G_homo,E_M1,G_M1,E_M2,G_M2,E_M3,G_M3,ΔG_min,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd
FeZnMn,162.21,217.56,109.06,173.06,105.4,169.36,97.04,153.53,153.53,1.19011,1.19704,1.09505,-0.99995,0.54774,3.9145,0.0191,4.68264,0.44549,0.0896,-4.54426,-5.8758,-2.72582,-3.21873,-1.44209,3.271211,0.937964,0.937964,1.860747718,2.127461571,1.983600392,85.44614316,137.3936895,110.8490234,-28.05379632,8,12,7
FeZnNi,172.41,229.93,131.92,195.25,100,169.55,192.94,259.08,169.55,1.2152,1.24398,0.85183,-0.98182,0.65136,3.8946,0.019,-1.397,0.2429,-0.2134,-4.45436,-6.3177,-2.2432,-3.48073,-1.74718,0.977,1.275561,0.977,1.850177174,1.97239467,1.930671504,91.97405623,137.0673299,114.6481113,-23.94448078,8,12,10
MnCoCo,201.36,253.4,123.16,191.61,110.75,177.13,103.53,167.11,167.11,0.95393,0.9707,0.95035,-0.86094,0.56337,3.6065,2.6515,2.5595,0.37124,0.0584,-3.32127,-2.88009,-2.93156,-3.23972,-1.84122,2.151559,1.287904,1.287904,1.898687823,2.253597359,1.824341753,78.77108978,127.8475334,97.38175046,-36.29040414,7,9,9
MnCoCu,149.84,193.64,120.87,185.75,118.06,187.3,128.36,190.25,185.75,0.99939,0.79853,0.80842,-0.78253,0.60601,3.6819,-1.2551,-0.3518,-0.16954,0.0678,-3.50866,-2.29657,-2.22498,-3.75676,-1.85653,0.44643,2.176338,0.44643,1.908161401,1.872398269,1.965357519,89.92335178,120.7708537,108.5088694,-39.59803743,7,9,11
MnCoFe,NaN,NaN,158.24,201.34,107.97,178.66,128.12,190.75,178.66,0.9613,0.97971,0.96911,-0.87971,0.55887,3.6259,2.6556,3.5735,0.34447,0.0569,-3.6731,-3.06483,-3.66762,-3.52951,-2.21221,2.115676,0.963775,0.963775,1.896041826,2.252504919,1.84288252,79.07155425,130.4766759,99.50678793,-34.77042228,7,9,8
MnCoMn,202.24,252.67,122.85,189.4,121.29,187.94,98.99,156.29,156.29,0.95766,0.98813,1.10229,-0.9254,0.56215,3.6374,2.6702,4.66563,0.25683,0.0849,-3.26417,-2.83614,-2.77929,-3.07192,-1.91941,1.918559,1.269614,1.269614,1.877060044,2.209863074,1.915285265,80.57616814,133.0441563,104.0428956,-33.06740621,7,9,7
MnCoNi,340.39,375.67,132.77,193.85,111.05,161.84,104.35,168.3,161.84,0.93839,0.70595,0.99084,-0.83503,0.61203,3.5804,1.1151,-1.5877,-0.10328,0.0536,-3.56677,-2.05084,-3.22529,-3.98372,-1.87624,1.281763,1.623743,1.281763,1.922028659,1.948138008,1.848555085,82.52846876,118.0350041,108.3833887,-45.24773253,7,9,10
MnCoZn,NaN,NaN,121.9,189.42,99.9,167.9,98.64,160.91,160.91,0.95793,0.98898,1.17684,-0.97031,0.55101,3.5961,2.6596,0.0109,0.15522,0.0479,-3.2619,-2.80006,-6.68404,-3.02906,-1.86284,2.109758,1.375399,1.375399,1.877030078,2.210426695,1.863483315,80.00147323,127.2563058,101.6142714,-36.97745728,7,9,12
MnCuCo,NaN,NaN,126.77,191.92,111.19,182.55,106,170.78,170.78,0.94317,0.90498,0.98647,-0.85382,0.57536,3.6036,0.5453,2.6111,0.40794,0.1088,-3.02255,-2.56706,-2.8563,-3.24394,-1.73089,2.186527,0.908562,0.908562,1.967238107,2.030249992,1.843474388,83.32418201,117.6457043,102.603169,-44.35333367,7,11,9
MnCuCu,114.53,156.71,116.9,179.99,100.91,174.18,123.21,183.03,156.71,0.89212,0.94432,0.87298,-0.76419,0.56393,3.5249,-0.5378,-0.4623,-0.41609,0.0397,-2.99259,-2.81899,-2.64435,-3.3295,-1.47009,0.423572,2.871582,0.423572,1.898191186,2.006929028,1.924634475,85.48438021,123.5951388,107.8607174,-39.09592147,7,11,11
